2025-09-14 02:22:46.511 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/health "HTTP/1.1 404 Not Found"
2025-09-14 02:22:46.579 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/docs "HTTP/1.1 200 OK"
2025-09-14 02:22:46.610 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: OPTIONS http://test/auth/login "HTTP/1.1 200 OK"
2025-09-14 02:22:46.644 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/static/test.txt "HTTP/1.1 404 Not Found"
2025-09-14 02:22:46.711 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/api/nonexistent "HTTP/1.1 404 Not Found"
2025-09-14 02:22:46.711 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/user/me "HTTP/1.1 404 Not Found"
2025-09-14 02:22:52.229 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/auth/register "HTTP/1.1 404 Not Found"
2025-09-14 19:12:41.171 |                   INFO     |                   src.api.auth_config:on_after_login:61 -                   User test_user logged in.
2025-09-14 19:12:41.180 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/auth/login "HTTP/1.1 204 No Content"
2025-09-14 19:12:41.291 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/auth/login "HTTP/1.1 400 Bad Request"
2025-09-14 19:12:41.825 |                   INFO     |                   src.api.auth_config:on_after_login:61 -                   User test_user logged in.
2025-09-14 19:12:41.825 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/auth/login "HTTP/1.1 204 No Content"
2025-09-14 19:12:41.830 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/auth/me "HTTP/1.1 200 OK"
2025-09-14 19:12:42.366 |                   INFO     |                   src.api.auth_config:on_after_login:61 -                   User admin_user logged in.
2025-09-14 19:12:42.366 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/auth/login "HTTP/1.1 204 No Content"
2025-09-14 19:12:42.371 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/user/users/ "HTTP/1.1 200 OK"
2025-09-14 19:12:42.904 |                   INFO     |                   src.api.auth_config:on_after_login:61 -                   User admin_user logged in.
2025-09-14 19:12:42.905 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/auth/login "HTTP/1.1 204 No Content"
2025-09-14 19:12:42.906 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/task/types "HTTP/1.1 404 Not Found"
2025-09-14 19:12:43.437 |                   INFO     |                   src.api.auth_config:on_after_login:61 -                   User test_user logged in.
2025-09-14 19:12:43.438 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: POST http://test/auth/login "HTTP/1.1 204 No Content"
2025-09-14 19:12:43.439 |                   INFO     |                   src.utils.logger:emit:40 -                   HTTP Request: GET http://test/task/types "HTTP/1.1 404 Not Found"
2025-09-14 19:12:43.966 |                   INFO     |                   src.api.auth_config:on_after_login:61 -                   User test_user logged in.
